# index, logLikelihood, tieBreaker, ID.
18 -537.3988105 0.2870912207 3
16 -539.9850798 0.874687112 1
18 -538.2626481 0.6277948773 3
1 -621.8673135 0.7523062812 3
17 -539.0408063 0.3341907286 2
15 -539.3599161 0.8732123348 0
20 -532.7967395 0.4556016644 1
16 -538.6826777 0.01725145273 1
20 -533.9743297 0.08125062841 3
20 -531.3610223 0.02917562839 3
21 -532.1262255 0.1380147495 1
21 -530.3927029 0.4716657261 0
4 -570.4063788 0.3792599217 2
20 -534.419737 0.7451517194 0
18 -538.0634316 0.904504559 0
20 -533.7583837 0.6683831585 3
21 -530.9028433 0.7280826914 0
17 -539.0038741 0.7291537553 0
18 -537.9335502 0.1819308202 0
17 -538.4641093 0.3853972855 0
16 -539.6666973 0.04202764055 2
21 -532.1953202 0.441597123 2
20 -533.2804257 0.8560477784 3
23 -526.3959553 0.8766582078 3
24 -524.5252073 0.4690873 0
24 -521.5353859 0.7734078508 0
22 -527.730142 0.3614850621 0
9 -543.6921349 0.8121648981 1
21 -532.652054 0.05558550265 0
14 -542.032604 0.9483003781 3
1 -730.3440579 0.5187176583 0
25 -520.798426 0.04736526809 0
19 -529.8176703 0.7685739977 0
17 -538.7127529 0.06822381103 3
5 -568.4512471 0.2774174434 3
11 -544.9058004 0.7237471797 0
22 -525.5107096 0.6434199962 2
3 -603.9384051 0.04166678445 3
23 -527.2312455 0.4929819271 0
16 -537.4943957 0.05992804326 3
12 -542.9852207 0.9547989433 2
26 -520.1899101 0.04438956278 3
23 -525.4636804 0.7292636187 2
21 -532.2393441 0.8299045025 0
21 -530.6632695 0.5382817821 3
19 -536.3204758 0.3588716784 3
17 -538.3565221 0.3775771907 3
26 -521.4891693 0.1190660174 0
16 -539.0866258 0.3543579345 1
24 -525.6496535 0.2915280795 1
25 -522.2984075 0.8965270893 3
26 -520.7961393 0.7709999513 0
0 -752.4440106 0.7041514167 0
27 -519.5752714 0.3025574163 3
12 -544.1635085 0.9459262233 1
21 -530.4107861 0.5013333523 2
4 -562.5381926 0.8717673169 2
23 -525.6485055 0.524581894 3
23 -528.025014 0.6000897643 1
16 -539.9022237 0.6930636778 3
26 -519.5041202 0.4882671325 2
22 -528.6815505 0.05226658819 0
23 -527.9773325 0.07710399941 1
21 -532.1997798 0.8517628256 2
24 -522.3086365 0.6975883183 3
0 -686.9786745 0.5731911772 2
24 -521.2979303 0.0002360359475 1
19 -536.6973092 0.1824019726 3
28 -517.5603184 0.4779476903 2
2 -632.6978452 0.7309126096 2
24 -524.2946626 0.178238421 3
25 -522.4213281 0.3092610672 0
28 -516.783978 0.7641166879 2
23 -527.8008118 0.9822312952 0
21 -530.9512795 0.6228454108 1
24 -522.3863657 0.4862987556 2
28 -516.897843 0.7526001327 1
25 -523.0954594 0.4431776277 0
27 -518.1721404 0.6792967466 2
27 -518.9291797 0.5561366468 3
25 -522.654959 0.4404206214 0
30 -514.7059879 0.4948434421 2
21 -526.759729 0.7824226739 0
30 -515.4084565 0.739874106 2
26 -516.6015447 0.3481389252 0
20 -533.0873828 0.3913582486 0
28 -517.6731426 0.8338168664 0
25 -522.5567155 0.1925831225 1
31 -513.6050991 0.6638600708 2
23 -526.0873546 0.545875673 0
10 -544.2988556 0.3357679024 0
13 -542.6111638 0.250635636 3
28 -517.8797472 0.6420915472 1
